,description,number_rates,rating,price,url
12,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Brand - Solimo Kids' Multivitamin, 190 Gummies</span>","(4,409)",4.8,8.32,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04501699K700VZG88X0&qualifier=1675456051&id=3418791229722889&widgetName=sp_mtf&url=%2FAmazon-Brand-Solimo-Multivitamin-Gummies%2Fdp%2FB08CP6F42J%2Fref%3Dsr_1_13_ffob_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-13-spons%26psc%3D1
13,"<span class=""a-size-base-plus a-color-base a-text-normal"">NaturesPlus Animal Parade Children's Chewable Multivitamin - 180 Animal-Shaped Tablets - Natural Assorted Flavors - Vegetarian, Gluten Free - 90 Servings</span>","(1,996)",4.6,25.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00366322HE4VFF4PULTL&qualifier=1675456051&id=3418791229722889&widgetName=sp_mtf&url=%2FNaturesPlus-Animal-Childrens-Chewable-Multivitamin%2Fdp%2FB00012NGZI%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-14-spons%26psc%3D1%26smid%3DA32GOXAC8X4KTS
14,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature’s Bounty Marvel® Avengers Kids Gummy Multivitamin, Natural Grape, Orange &amp; Cherry Flavored, Supports Immune Health &amp; More, 60 Gummies</span>",(37),4.7,5.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03340933S9WHLVIJHIKN&qualifier=1675456051&id=3418791229722889&widgetName=sp_mtf&url=%2FNatures-Bounty-Avengers-Multivitamin-Flavored%2Fdp%2FB09SKGKTGM%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-15-spons%26psc%3D1
15,"<span class=""a-size-base-plus a-color-base a-text-normal"">CHILDLIFE ESSENTIALS, Kids Liquid Multivitamin and Mineral Supplement - Liquid Vitamins for Kids, All-Natural, Gluten-Free, Non-GMO - Natural Orange &amp; Mango Flavor, 8 Fl Oz Bottle</span>","(2,995)",4.6,14.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03676721KGTMQX5W2XLU&qualifier=1675456051&id=3418791229722889&widgetName=sp_mtf&url=%2FChildLife-Essentials-Vitamin-Mineral-Natural%2Fdp%2FB001E123JA%2Fref%3Dsr_1_16_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-16-spons%26psc%3D1
16,"<span class=""a-size-base-plus a-color-base a-text-normal"">Amazon Brand - Solimo Kids' Multivitamin, 190 Gummies</span>","(4,409)",4.8,8.32,https://www.amazon.com/Amazon-Brand-Solimo-Multivitamin-Gummies/dp/B08CP6F42J/ref=sr_1_17?keywords=multivitamin+for+kids&qid=1675456051&sr=8-17
17,"<span class=""a-size-base-plus a-color-base a-text-normal"">Centrum Kids Multivitamin Gummies, Tropical Punch Flavor Made with Natural Flavors, 150 Count, 150 Day Supply (Pack of 1)</span>","(1,240)",4.7,14.28,https://www.amazon.com/Centrum-Multivitamin-Gummies-Tropical-Natural/dp/B0B6WQ7NK8/ref=ice_ac_b_dpb?keywords=multivitamin+for+kids&qid=1675456051&sr=8-18
18,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature's Bounty Disney and Pixar Toy Story Kids Gummy Multivitamin, Natural Grape, Orange &amp; Cherry Flavored, Supports, Immune, Bone and Eye Health, 180 Gummies</span>",(169),4.8,8.96,https://www.amazon.com/Natures-Bounty-Multivitamin-Flavored-Supports/dp/B09SKMHXQP/ref=sr_1_19?keywords=multivitamin+for+kids&qid=1675456051&sr=8-19
19,"<span class=""a-size-base-plus a-color-base a-text-normal"">Multivitamin &amp; Multimineral for Toddlers by MaryRuth's | USDA Organic | Sugar Free | Multivitamin Liquid Drops for Kids Ages 1-3 | Immune Support &amp; Overall Wellness | Vegan | Non-GMO | 2 Fl Oz</span>","(31,656)",4.5,19.95,https://www.amazon.com/Multivitamin-Multimineral-Toddlers-MaryRuths-Wellness/dp/B0BHL3FJGH/ref=sr_1_20?keywords=multivitamin+for+kids&qid=1675456051&sr=8-20
20,"<span class=""a-size-base-plus a-color-base a-text-normal"">Nature's Bounty Disney® Frozen Kids Gummy Multivitamin, Natural Strawberry &amp; Raspberry Flavored, Vitamins A, C, D, E, and Select B Vitamins, 180 Gummies</span>",(131),4.7,8.96,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A033508536FK4X7F51Z4N&qualifier=1675456051&id=3418791229722889&widgetName=sp_mtf&url=%2FNatures-Bounty-Multivitamin-Strawberry-Raspberry%2Fdp%2FB09SK3PN99%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmultivitamin%2Bfor%2Bkids%26qid%3D1675456051%26sr%3D8-21-spons%26psc%3D1
21,"<span class=""a-size-base-plus a-color-base a-text-normal"">OLLY Kid's Multivitamin + Probiotic Gummy, Vitamins A, C, D, E, B, Zinc, Digestive Support, Chewable Supplement, Berry Flavor, 60 Day Supply - 120 Count Pouch</span>","(13,553)",4.7,21.59,https://www.amazon.com/gp/bestsellers/hpc/3765511/ref=sr_bs_21_3765511_1
